model,dataset,mode,metric,mean,std,n_valid,n_total
qwen35-9b,chexpert_plus_valid,nothinking,rouge,0.25513684125844055,0.08416477920479874,200,200
qwen35-9b,chexpert_plus_valid,nothinking,meteor,0.23056872438335108,0.08913263057478199,200,200
qwen35-9b,chexpert_plus_valid,nothinking,bertscore,0.8613079106807708,0.015745966685833543,200,200
qwen35-9b,chexpert_plus_valid,nothinking,radgraph,0.18567953306389806,0.10831378477514893,200,200
qwen35-9b,chexpert_plus_valid,nothinking,green,0.35892514430014427,0.2892241210582598,200,200
qwen35-9b,chexpert_plus_valid,nothinking,crimson,0.0999035,0.41510998813446415,200,200
qwen35-9b,chexpert_plus_valid,nothinking,discern_score,10.24,5.9277390674911885,200,200
qwen35-9b,chexpert_plus_valid,nothinking,mini_discern_score,3.785,3.097863585435913,200,200
qwen35-9b,mimic_cxr_test,nothinking,bleu,0.22085504882702658,0.07931653620209031,3131,3131
qwen35-9b,mimic_cxr_test,nothinking,rouge,0.2793796722262103,0.07851117286591348,3131,3131
qwen35-9b,mimic_cxr_test,nothinking,meteor,0.2486005726538412,0.07931772737598396,3131,3131
qwen35-9b,mimic_cxr_test,nothinking,bertscore,0.8663875023917397,0.015701007780362018,3131,3131
qwen35-9b,mimic_cxr_test,nothinking,radgraph,0.19574332986684628,0.10266688182444696,3131,3131
qwen35-9b,mimic_cxr_test,nothinking,green,0.35146102345080305,0.2292053372187859,3131,3131
qwen35-9b,mimic_cxr_test,nothinking,crimson,0.07276365089514067,0.41820523927958053,3128,3131
qwen35-9b,mimic_cxr_test,nothinking,discern_score,11.599808367933568,5.979933427483222,3131,3131
qwen35-9b,mimic_cxr_test,nothinking,mini_discern_score,4.448419035451932,3.1317410194413577,3131,3131
